crop_id,image_id,split,crop_path,label,damage,pixels,x0,y0,x1,y1
santa-rosa-wildfire_00000040_c1_00,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_00.png,0,no-damage,3687,90,768,194,871
santa-rosa-wildfire_00000040_c1_01,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_01.png,0,no-damage,1811,162,527,232,610
santa-rosa-wildfire_00000040_c1_02,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_02.png,0,no-damage,1060,33,599,96,654
santa-rosa-wildfire_00000040_c1_03,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_03.png,0,no-damage,648,91,497,143,549
santa-rosa-wildfire_00000040_c1_04,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_04.png,0,no-damage,544,113,861,158,911
santa-rosa-wildfire_00000040_c1_05,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c1_05.png,0,no-damage,379,143,574,186,618
santa-rosa-wildfire_00000040_c4_00,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_00.png,3,destroyed,3310,449,306,532,437
santa-rosa-wildfire_00000040_c4_01,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_01.png,3,destroyed,1405,779,140,841,189
santa-rosa-wildfire_00000040_c4_02,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_02.png,3,destroyed,834,545,276,605,332
santa-rosa-wildfire_00000040_c4_03,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_03.png,3,destroyed,762,448,411,502,466
santa-rosa-wildfire_00000040_c4_04,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_04.png,3,destroyed,307,579,315,619,356
santa-rosa-wildfire_00000040_c4_05,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_crops\santa-rosa-wildfire_00000040_c4_05.png,3,destroyed,282,602,288,640,326
midwest-flooding_00000020_c1_00,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_00.png,0,no-damage,5990,209,11,262,205
midwest-flooding_00000020_c1_01,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_01.png,0,no-damage,5809,36,7,93,200
midwest-flooding_00000020_c1_02,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_02.png,0,no-damage,4405,292,126,399,215
midwest-flooding_00000020_c1_03,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_03.png,0,no-damage,3102,83,133,200,185
midwest-flooding_00000020_c1_04,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_04.png,0,no-damage,3048,85,26,201,76
midwest-flooding_00000020_c1_05,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c1_05.png,0,no-damage,2800,836,30,903,115
midwest-flooding_00000020_c2_00,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c2_00.png,1,minor-damage,1792,889,855,958,913
midwest-flooding_00000020_c2_01,midwest-flooding_00000020,train,outputs\real_processed\damage_crops\midwest-flooding_00000020_c2_01.png,1,minor-damage,1350,829,700,878,775
hurricane-florence_00000449_c1_00,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c1_00.png,0,no-damage,989,71,131,140,176
hurricane-florence_00000449_c1_01,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c1_01.png,0,no-damage,571,47,234,108,272
hurricane-florence_00000449_c1_02,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c1_02.png,0,no-damage,454,653,96,697,140
hurricane-florence_00000449_c1_03,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c1_03.png,0,no-damage,419,0,237,26,285
hurricane-florence_00000449_c2_00,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c2_00.png,1,minor-damage,1953,699,949,775,1019
hurricane-florence_00000449_c2_01,hurricane-florence_00000449,train,outputs\real_processed\damage_crops\hurricane-florence_00000449_c2_01.png,1,minor-damage,1813,632,303,705,377
