crop_id,image_id,split,crop_path,label,damage,pixels,x0,y0,x1,y1,paired
santa-rosa-wildfire_00000040_pair_c1_00,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_00.png,0,no-damage,3687,82,760,202,879,True
santa-rosa-wildfire_00000040_pair_c1_01,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_01.png,0,no-damage,1811,154,519,240,618,True
santa-rosa-wildfire_00000040_pair_c1_02,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_02.png,0,no-damage,1060,25,591,104,662,True
santa-rosa-wildfire_00000040_pair_c1_03,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_03.png,0,no-damage,648,83,489,151,557,True
santa-rosa-wildfire_00000040_pair_c1_04,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_04.png,0,no-damage,544,105,853,166,919,True
santa-rosa-wildfire_00000040_pair_c1_05,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c1_05.png,0,no-damage,379,135,566,194,626,True
santa-rosa-wildfire_00000040_pair_c4_00,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_00.png,3,destroyed,3310,441,298,540,445,True
santa-rosa-wildfire_00000040_pair_c4_01,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_01.png,3,destroyed,1405,771,132,849,197,True
santa-rosa-wildfire_00000040_pair_c4_02,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_02.png,3,destroyed,834,537,268,613,340,True
santa-rosa-wildfire_00000040_pair_c4_03,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_03.png,3,destroyed,762,440,403,510,474,True
santa-rosa-wildfire_00000040_pair_c4_04,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_04.png,3,destroyed,307,571,307,627,364,True
santa-rosa-wildfire_00000040_pair_c4_05,santa-rosa-wildfire_00000040,train,outputs\real_processed\damage_pair_crops\santa-rosa-wildfire_00000040_pair_c4_05.png,3,destroyed,282,594,280,648,334,True
