id,source_split,split,pre_image,post_image,mask_path
santa-rosa-wildfire_00000040,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000040_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000040_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000040_post_disaster_target.png
midwest-flooding_00000020,train,train,data\xview2_real\train\images\midwest-flooding_00000020_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000020_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000020_post_disaster_target.png
hurricane-florence_00000449,train,train,data\xview2_real\train\images\hurricane-florence_00000449_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000449_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000449_post_disaster_target.png
hurricane-michael_00000239,train,train,data\xview2_real\train\images\hurricane-michael_00000239_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000239_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000239_post_disaster_target.png
mexico-earthquake_00000030,train,train,data\xview2_real\train\images\mexico-earthquake_00000030_pre_disaster.png,data\xview2_real\train\images\mexico-earthquake_00000030_post_disaster.png,data\xview2_real\train\masks\mexico-earthquake_00000030_post_disaster_target.png
hurricane-matthew_00000285,train,train,data\xview2_real\train\images\hurricane-matthew_00000285_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000285_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000285_post_disaster_target.png
socal-fire_00001066,train,train,data\xview2_real\train\images\socal-fire_00001066_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001066_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001066_post_disaster_target.png
hurricane-harvey_00000174,train,train,data\xview2_real\train\images\hurricane-harvey_00000174_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000174_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000174_post_disaster_target.png
socal-fire_00001115,train,train,data\xview2_real\train\images\socal-fire_00001115_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001115_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001115_post_disaster_target.png
hurricane-michael_00000152,train,train,data\xview2_real\train\images\hurricane-michael_00000152_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000152_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000152_post_disaster_target.png
hurricane-florence_00000096,train,train,data\xview2_real\train\images\hurricane-florence_00000096_pre_disaster.png,data\xview2_real\train\images\hurricane-florence_00000096_post_disaster.png,data\xview2_real\train\masks\hurricane-florence_00000096_post_disaster_target.png
socal-fire_00000502,train,train,data\xview2_real\train\images\socal-fire_00000502_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000502_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000502_post_disaster_target.png
socal-fire_00000106,train,train,data\xview2_real\train\images\socal-fire_00000106_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000106_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000106_post_disaster_target.png
hurricane-matthew_00000050,train,train,data\xview2_real\train\images\hurricane-matthew_00000050_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000050_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000050_post_disaster_target.png
midwest-flooding_00000191,train,train,data\xview2_real\train\images\midwest-flooding_00000191_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000191_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000191_post_disaster_target.png
santa-rosa-wildfire_00000067,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000067_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000067_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000067_post_disaster_target.png
socal-fire_00000118,train,train,data\xview2_real\train\images\socal-fire_00000118_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000118_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000118_post_disaster_target.png
socal-fire_00000927,train,train,data\xview2_real\train\images\socal-fire_00000927_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000927_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000927_post_disaster_target.png
hurricane-michael_00000100,train,train,data\xview2_real\train\images\hurricane-michael_00000100_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000100_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000100_post_disaster_target.png
mexico-earthquake_00000184,train,train,data\xview2_real\train\images\mexico-earthquake_00000184_pre_disaster.png,data\xview2_real\train\images\mexico-earthquake_00000184_post_disaster.png,data\xview2_real\train\masks\mexico-earthquake_00000184_post_disaster_target.png
socal-fire_00001330,train,train,data\xview2_real\train\images\socal-fire_00001330_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001330_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001330_post_disaster_target.png
midwest-flooding_00000103,train,train,data\xview2_real\train\images\midwest-flooding_00000103_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000103_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000103_post_disaster_target.png
socal-fire_00001107,train,train,data\xview2_real\train\images\socal-fire_00001107_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001107_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001107_post_disaster_target.png
socal-fire_00000858,train,train,data\xview2_real\train\images\socal-fire_00000858_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000858_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000858_post_disaster_target.png
hurricane-harvey_00000029,train,train,data\xview2_real\train\images\hurricane-harvey_00000029_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000029_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000029_post_disaster_target.png
socal-fire_00001195,train,train,data\xview2_real\train\images\socal-fire_00001195_pre_disaster.png,data\xview2_real\train\images\socal-fire_00001195_post_disaster.png,data\xview2_real\train\masks\socal-fire_00001195_post_disaster_target.png
hurricane-harvey_00000455,train,train,data\xview2_real\train\images\hurricane-harvey_00000455_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000455_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000455_post_disaster_target.png
hurricane-michael_00000306,train,train,data\xview2_real\train\images\hurricane-michael_00000306_pre_disaster.png,data\xview2_real\train\images\hurricane-michael_00000306_post_disaster.png,data\xview2_real\train\masks\hurricane-michael_00000306_post_disaster_target.png
midwest-flooding_00000366,train,train,data\xview2_real\train\images\midwest-flooding_00000366_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000366_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000366_post_disaster_target.png
midwest-flooding_00000289,train,train,data\xview2_real\train\images\midwest-flooding_00000289_pre_disaster.png,data\xview2_real\train\images\midwest-flooding_00000289_post_disaster.png,data\xview2_real\train\masks\midwest-flooding_00000289_post_disaster_target.png
socal-fire_00000895,train,train,data\xview2_real\train\images\socal-fire_00000895_pre_disaster.png,data\xview2_real\train\images\socal-fire_00000895_post_disaster.png,data\xview2_real\train\masks\socal-fire_00000895_post_disaster_target.png
santa-rosa-wildfire_00000106,train,train,data\xview2_real\train\images\santa-rosa-wildfire_00000106_pre_disaster.png,data\xview2_real\train\images\santa-rosa-wildfire_00000106_post_disaster.png,data\xview2_real\train\masks\santa-rosa-wildfire_00000106_post_disaster_target.png
hurricane-matthew_00000045,train,train,data\xview2_real\train\images\hurricane-matthew_00000045_pre_disaster.png,data\xview2_real\train\images\hurricane-matthew_00000045_post_disaster.png,data\xview2_real\train\masks\hurricane-matthew_00000045_post_disaster_target.png
hurricane-harvey_00000319,train,train,data\xview2_real\train\images\hurricane-harvey_00000319_pre_disaster.png,data\xview2_real\train\images\hurricane-harvey_00000319_post_disaster.png,data\xview2_real\train\masks\hurricane-harvey_00000319_post_disaster_target.png
palu-tsunami_00000166,train,train,data\xview2_real\train\images\palu-tsunami_00000166_pre_disaster.png,data\xview2_real\train\images\palu-tsunami_00000166_post_disaster.png,data\xview2_real\train\masks\palu-tsunami_00000166_post_disaster_target.png
